"Região";"UF";"Ano";"Mês";"Transferência";"1º Decêndio";"2º Decêndio";"3º Decêndio";"Total"
"Centro-Oeste";"DF";"2024";"01";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAF";"R$0,00";"R$0,00";"-R$912.717,48";"-R$912.717,48"
"Centro-Oeste";"DF";"2024";"04";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAR";"R$0,00";"R$0,00";"R$458.093,27";"R$458.093,27"
"Centro-Oeste";"DF";"2024";"09";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAR";"R$0,00";"R$0,00";"R$42.403.717,87";"R$42.403.717,87"
"Centro-Oeste";"DF";"2025";"01";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAR";"R$0,00";"R$0,00";"R$4.679.087,95";"R$4.679.087,95"
"Centro-Oeste";"DF";"2025";"04";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAR";"R$0,00";"R$0,00";"-R$281.223,69";"-R$281.223,69"
"Centro-Oeste";"GO";"2024";"04";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAR";"R$0,00";"R$0,00";"R$567.719,72";"R$567.719,72"
"Centro-Oeste";"GO";"2024";"09";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAR";"R$0,00";"R$0,00";"R$18.265.871,79";"R$18.265.871,79"
"Centro-Oeste";"GO";"2025";"01";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAR";"R$0,00";"R$0,00";"-R$5.089.868,05";"-R$5.089.868,05"
"Centro-Oeste";"GO";"2025";"04";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAR";"R$0,00";"R$0,00";"-R$354.120,70";"-R$354.120,70"
"Centro-Oeste";"GO";"2025";"09";"AJUSTE FUNDEB/AJUSTE FUNDEB VAAR";"R$0,00";"R$0,00";"-R$148.541,21";"-R$148.541,21"
"Centro-Oeste";"GO";"2020";"09";"AJUSTE FUNDEB/FPE";"-R$183.709,97";"R$0,00";"R$0,00";"-R$183.709,97"
"Centro-Oeste";"GO";"2021";"05";"AJUSTE FUNDEB/FPE";"R$0,00";"R$0,00";"R$581.715,70";"R$581.715,70"
"Centro-Oeste";"GO";"2022";"09";"AJUSTE FUNDEB/FPE";"R$0,00";"R$0,00";"-R$14.195,86";"-R$14.195,86"
"Centro-Oeste";"GO";"2023";"09";"AJUSTE FUNDEB/FPE";"R$0,00";"R$0,00";"-R$292.936,19";"-R$292.936,19"
"Centro-Oeste";"GO";"2020";"09";"AJUSTE FUNDEB/FPM";"-R$250.728,46";"R$0,00";"R$0,00";"-R$250.728,46"
"Centro-Oeste";"GO";"2021";"05";"AJUSTE FUNDEB/FPM";"R$0,00";"R$0,00";"R$775.073,91";"R$775.073,91"
"Centro-Oeste";"GO";"2022";"09";"AJUSTE FUNDEB/FPM";"R$0,00";"R$0,00";"-R$18.392,31";"-R$18.392,31"
"Centro-Oeste";"GO";"2023";"09";"AJUSTE FUNDEB/FPM";"R$0,00";"R$0,00";"-R$385.596,00";"-R$385.596,00"
"Centro-Oeste";"GO";"2020";"09";"AJUSTE FUNDEB/ICME";"-R$1.097.142,56";"R$0,00";"R$0,00";"-R$1.097.142,56"
"Centro-Oeste";"GO";"2021";"05";"AJUSTE FUNDEB/ICME";"R$0,00";"R$0,00";"R$3.049.642,07";"R$3.049.642,07"
"Centro-Oeste";"GO";"2022";"09";"AJUSTE FUNDEB/ICME";"R$0,00";"R$0,00";"-R$72.256,44";"-R$72.256,44"
"Centro-Oeste";"GO";"2023";"09";"AJUSTE FUNDEB/ICME";"R$0,00";"R$0,00";"-R$1.380.797,66";"-R$1.380.797,66"
"Centro-Oeste";"GO";"2020";"09";"AJUSTE FUNDEB/IPIE";"-R$6.605,99";"R$0,00";"R$0,00";"-R$6.605,99"
"Centro-Oeste";"GO";"2021";"05";"AJUSTE FUNDEB/IPIE";"R$0,00";"R$0,00";"R$24.730,43";"R$24.730,43"
"Centro-Oeste";"GO";"2022";"09";"AJUSTE FUNDEB/IPIE";"R$0,00";"R$0,00";"-R$456,37";"-R$456,37"
"Centro-Oeste";"GO";"2023";"09";"AJUSTE FUNDEB/IPIE";"R$0,00";"R$0,00";"-R$7.967,38";"-R$7.967,38"
