"Região";"UF";"Ano";"Mês";"Transferência";"1º Decêndio";"2º Decêndio";"3º Decêndio";"Total"
"Centro-Oeste";"DF";"2017";"01";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"02";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"03";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"04";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"05";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"06";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"07";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"08";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"09";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"10";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"11";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2017";"12";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"01";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"02";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"03";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"04";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"05";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"06";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"07";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"08";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"09";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"10";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"11";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2018";"12";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"01";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"02";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"03";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"04";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"05";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"06";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"07";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"08";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"09";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"10";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"11";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2019";"12";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"01";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"02";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"03";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"04";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"05";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"06";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"07";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"08";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"09";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"10";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"11";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2020";"12";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2021";"01";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2021";"02";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2021";"03";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2021";"04";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2021";"05";"FUNDEB/COUN";"R$0,00";"R$0,00";"R$0,00";"R$0,00"
"Centro-Oeste";"DF";"2023";"09";"FUNDEB/COUN VAAF";"R$0,00";"R$0,00";"R$228.179,37";"R$228.179,37"
"Centro-Oeste";"DF";"2023";"10";"FUNDEB/COUN VAAF";"R$0,00";"R$0,00";"R$228.179,37";"R$228.179,37"
"Centro-Oeste";"DF";"2023";"11";"FUNDEB/COUN VAAF";"R$0,00";"R$0,00";"R$228.179,37";"R$228.179,37"
"Centro-Oeste";"DF";"2023";"12";"FUNDEB/COUN VAAF";"R$0,00";"R$228.179,37";"R$0,00";"R$228.179,37"
"Centro-Oeste";"DF";"2023";"01";"FUNDEB/COUN VAAR";"R$0,00";"R$0,00";"R$1.510.805,94";"R$1.510.805,94"
"Centro-Oeste";"DF";"2023";"02";"FUNDEB/COUN VAAR";"R$0,00";"R$0,00";"R$1.661.886,53";"R$1.661.886,53"
"Centro-Oeste";"DF";"2023";"03";"FUNDEB/COUN VAAR";"R$0,00";"R$0,00";"R$1.812.967,12";"R$1.812.967,12"
